127.0.0.1 - - [23/Sep/2021:23:36:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:36:41 +0530] "GET /FlyAway/ HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:36:41 +0530] "GET /FlyAway/CSS/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:36:41 +0530] "GET /FlyAway/Images/irving-martinez-ScTcKdhInUE-unsplash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:36:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:36:46 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:36:46 +0530] "GET /FlyAway/CSS/Style4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:36:46 +0530] "GET /FlyAway/Images/flugshow-4414576_1280.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:38:33 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:38:46 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:39:28 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3652
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:40:06 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:40:29 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3660
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:40:30 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3660
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:40:45 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:41:24 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:41:25 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:41:35 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:41:36 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:41:49 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:41:51 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:41:53 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:41:54 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:41:57 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:42:16 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:42:28 +0530] "GET /FlyAway/ HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:42:33 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:42:53 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:42:54 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:42:56 +0530] "GET /FlyAway/ HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:42:59 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:00 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:02 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:08 +0530] "POST /FlyAway/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:09 +0530] "GET /FlyAway/adminDashboard.jsp HTTP/1.1" 200 20098
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:09 +0530] "GET /FlyAway/CSS/style7.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:20 +0530] "GET /FlyAway/Changepassword.jsp? HTTP/1.1" 200 2767
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:27 +0530] "GET /FlyAway/LogOut? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:27 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:30 +0530] "GET /FlyAway/option-flightsearch.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:30 +0530] "GET /FlyAway/CSS/Style5.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:43:30 +0530] "GET /FlyAway/Images/plane-723888_640.jpg HTTP/1.1" 304 -
